VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Total_amount,Payment_type,Trip_type 
2,2013/8/5 19:26,2013/8/5 19:27,N,1,0,0,0,0,1,0,2.5,1,0.5,0,0,,4,2,
2,2013/8/5 19:27,2013/8/5 19:30,N,1,0,0,0,0,1,0,3,1,0.5,2.08,0,,6.58,1,
2,2013/8/5 19:54,2013/8/5 19:55,N,1,0,0,0,0,5,0,3,1,0.5,0.08,0,,4.58,1,
2,2013/8/6 6:51,2013/8/6 6:51,N,1,-73.93772125,40.75840378,-73.93772125,40.75836945,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/6 10:05,2013/8/6 10:18,N,1,0,0,0,0,1,0,2.8,0,0.5,0,0,,3.3,2,
2,2013/8/6 10:33,2013/8/6 10:33,N,1,-76.97966766,38.92708206,-76.97971344,38.9273262,1,0,3.25,0,0.25,0,0,,3.5,2,
2,2013/8/6 11:15,2013/8/6 11:32,N,1,0,0,0,0,1,0,10.81,0,0.25,0,0,,11.06,2,
2,2013/8/6 11:15,2013/8/6 12:40,N,1,0,0,0,0,1,0,31.06,0,0.25,0,0,,31.31,2,
2,2013/8/6 13:26,2013/8/6 13:26,N,1,-73.93769073,40.75841904,-73.93778992,40.758358,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/6 13:27,2013/8/6 13:28,N,1,-73.93780518,40.75839615,-73.93777466,40.75844955,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/6 13:29,2013/8/6 13:29,N,1,-73.93774414,40.75841522,-73.9377594,40.75838852,1,0,3.5,0,0,0,0,,3.5,2,
2,2013/8/6 13:30,2013/8/6 13:31,N,1,-73.93777466,40.75836563,-73.93778992,40.75835037,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/6 13:39,2013/8/6 13:41,N,1,0,0,0,0,1,0,3.25,0,0.25,0,0,,3.5,2,
2,2013/8/6 13:57,2013/8/6 14:00,N,1,0,0,0,0,1,0,4,0,0.5,0,0,,4.5,2,
2,2013/8/6 14:19,2013/8/6 14:19,N,1,0,0,0,0,1,0,3.25,0,0.25,0,0,,3.5,2,
2,2013/8/6 14:26,2013/8/6 14:26,N,5,0,0,0,0,1,0,1,0,0,0,0,,1,2,
2,2013/8/6 15:22,2013/8/6 15:24,N,4,0,0,0,0,5,0,3,0,0.5,0,0,,3.5,2,
2,2013/8/6 15:24,2013/8/6 15:27,N,1,0,0,0,0,1,0,3.5,0,0.5,0.42,0,,4.42,1,
2,2013/8/6 15:27,2013/8/6 15:29,N,1,0,0,0,0,5,0,3,0,0.5,0,0,,3.5,2,
2,2013/8/6 15:30,2013/8/6 15:32,N,1,0,0,0,0,5,0,3,0,0.5,0,0,,3.5,1,
2,2013/8/6 15:32,2013/8/6 15:34,N,1,0,0,0,0,5,0,2.5,0,0.5,0,0,,3,2,
2,2013/8/6 16:28,2013/8/6 16:53,N,1,0,0,0,0,1,0,4,0,0.5,0,0,,4.5,2,
2,2013/8/6 21:34,2013/8/6 21:34,N,1,0,0,0,0,1,0,2.5,1,0.5,0.88,0,,4.88,1,
2,2013/8/6 21:47,2013/8/6 21:49,N,1,0,0,0,0,1,0,3.5,1,0.5,0.9,0,,5.9,1,
2,2013/8/6 22:02,2013/8/6 22:19,N,1,0,0,0,0,1,0,11,1,0.5,2.4,0,,14.9,1,
2,2013/8/7 0:00,2013/8/7 16:10,N,1,0,0,0,0,1,0,2,0,0,0,0,,2,2,
2,2013/8/7 9:15,2013/8/7 9:17,N,1,0,0,0,0,2,0,3,0,0.5,0,0,,3.5,2,
2,2013/8/7 9:21,2013/8/7 9:22,N,1,0,0,0,0,2,0,3,0,0.5,0,0,,3.5,2,
2,2013/8/7 9:56,2013/8/7 9:56,N,1,0,0,0,0,1,0,1.5,0,0.5,0,0,,2,1,
2,2013/8/7 9:57,2013/8/7 9:57,N,1,0,0,0,0,1,0,1.5,0,0.5,0,0,,2,1,
2,2013/8/7 9:58,2013/8/7 9:58,N,1,0,0,0,0,1,0,1.5,0,0.5,0,0,,2,1,
2,2013/8/7 10:22,2013/8/7 10:23,N,1,-76.97994995,38.92729187,-76.97959137,38.92728806,1,0,3.52,0,0.25,0,0,,3.77,2,
2,2013/8/7 10:24,2013/8/7 10:28,N,1,-76.97966766,38.92731094,-76.97988892,38.92717361,1,0,3.25,0,0.25,0,0,,3.5,2,
2,2013/8/7 10:24,2013/8/7 10:27,N,1,-76.97966766,38.92731094,-76.97981262,38.92712784,1,0,3.52,0,0.25,0,0,,3.77,2,
2,2013/8/7 10:33,2013/8/7 10:34,N,1,-76.97978973,38.92731094,-76.97956085,38.92715073,2,0,3.52,0.5,0.25,0,0,,4.27,2,
2,2013/8/7 12:59,2013/8/7 13:11,N,1,0,0,0,0,1,0,3.25,0,0.25,0,0,,3.5,2,
2,2013/8/7 14:12,2013/8/7 14:15,N,1,-73.93748474,40.75839233,-73.93748474,40.75820923,1,0.01,3.5,0,0.5,0,0,,4,2,
2,2013/8/7 14:50,2013/8/7 16:09,N,1,0,0,0,0,1,0,9.3,0,0.5,0,0,,9.8,2,
2,2013/8/7 15:03,2013/8/7 15:04,N,5,0,0,0,0,1,0,10,0,0,0,0,,10,1,
2,2013/8/7 15:13,2013/8/7 15:13,N,1,-115.1791916,36.13685989,-115.1792831,36.13706589,1,0,1,0,3,0,0,,1,1,
2,2013/8/7 15:38,2013/8/7 15:38,N,1,-73.93748474,40.75812531,-73.93748474,40.75813675,2,0,2.5,0,0.5,0.25,0,,3.25,1,
2,2013/8/7 15:42,2013/8/7 15:43,N,1,-73.93747711,40.7581749,-73.93742371,40.75815201,1,0,2.5,0,0.5,0,0,,3,2,
2,2013/8/7 15:46,2013/8/7 15:48,N,1,-73.93744659,40.75824356,-73.93750763,40.75825119,3,0,3.5,0,0.5,0,0,,4,2,
2,2013/8/7 15:49,2013/8/7 15:49,N,1,-73.93750763,40.75823975,-73.93744659,40.75818253,2,0,2.5,0,0.5,0,0,,3,2,
2,2013/8/7 16:00,2013/8/7 16:00,N,1,0,0,0,0,1,0,2.5,0,0.5,0,0,,3,1,
2,2013/8/7 16:02,2013/8/7 16:03,N,1,0,0,0,0,1,0,2.5,1,0.5,0,0,,4,2,
2,2013/8/7 16:04,2013/8/7 16:04,N,5,0,0,0,0,1,0,5,0,0,3,0,,8,1,
2,2013/8/7 16:06,2013/8/7 16:08,N,1,-73.93742371,40.75823975,-73.93746948,40.7582016,5,0,3.5,1,0.5,1,0,,6,1,
2,2013/8/7 16:15,2013/8/7 16:18,N,1,-73.93742371,40.75816727,-73.93743134,40.75821304,5,0,2.5,1,0.5,0,0,,4,2,
2,2013/8/7 16:15,2013/8/7 16:20,N,1,-73.93742371,40.75816727,-73.93742371,40.75825119,5,0,3,1,0.5,0,6.5,,11,2,
2,2013/8/7 16:27,2013/8/7 16:27,N,1,-73.93744659,40.75818253,-73.93749237,40.75819397,5,0,2.5,1,0.5,0,0,,4,2,
2,2013/8/7 16:27,2013/8/7 16:35,N,1,-73.93744659,40.75818253,-73.93732452,40.75819778,5,0,3,1,0.5,0,0,,4.5,2,
2,2013/8/7 16:38,2013/8/7 16:40,N,1,-73.93736267,40.75814819,-73.93741608,40.75808716,5,0,2.5,1,0.5,0,0,,4,2,
2,2013/8/7 16:38,2013/8/7 16:46,N,1,-73.93736267,40.75814819,-73.9372406,40.75810623,5,0,5.5,1,0.5,0,0,,7,2,
2,2013/8/7 16:43,2013/8/7 16:44,N,1,-73.93766022,40.75834656,-73.93772888,40.7583046,1,0,2.5,1,0.5,0,0,,4,1,
2,2013/8/7 16:47,2013/8/7 16:48,N,1,-73.93765259,40.75828552,-73.93766785,40.75829315,2,0,3,1,0.5,0,0,,4.5,1,
2,2013/8/7 16:48,2013/8/7 16:48,N,5,-73.93724823,40.75801849,-73.93730927,40.75808334,2,0,7,0,0.5,0,0,,7.5,2,
2,2013/8/7 16:48,2013/8/7 16:52,N,3,-73.93724823,40.75801849,-73.93738556,40.75811768,5,0,21,1,0,0,0,,22,2,
2,2013/8/7 16:54,2013/8/7 16:54,N,5,-73.93740082,40.75812149,-73.93743896,40.75814438,2,0,30,0,0,0,0,,30,2,
2,2013/8/7 16:54,2013/8/7 16:56,N,2,-73.93740082,40.75812149,-73.93741608,40.75811768,5,0,52,0,0.5,0,0,,52.5,2,
2,2013/8/7 16:56,2013/8/7 16:57,N,1,-73.93740845,40.75806808,-73.93739319,40.75813675,5,0,2.5,1,0.5,0,5.33,,9.33,2,
2,2013/8/7 16:58,2013/8/7 17:01,N,1,-73.93750763,40.75811386,-73.93756866,40.75808334,1,0,0,0,0,0,0,,0,1,
2,2013/8/7 17:00,2013/8/7 17:07,N,1,-73.9373703,40.75813293,-73.93736267,40.75817108,5,0,2.5,1,0.5,0,0,,4,2,
2,2013/8/7 17:25,2013/8/7 17:32,N,1,-73.93769073,40.75832367,-73.93759918,40.75828171,5,0,5.5,1,0.5,0,0,,7,2,
2,2013/8/7 17:27,2013/8/7 17:29,N,1,-73.9373703,40.75816345,-73.93730927,40.75812149,1,0,3,1,0.5,0,0,,4.5,2,
2,2013/8/7 17:32,2013/8/7 17:33,N,1,0,0,0,0,2,0,3,1,0.5,0,0,,4.5,2,
2,2013/8/7 17:32,2013/8/7 17:33,N,1,-73.93728638,40.75803375,-73.93739319,40.75813675,1,0,3,1,0.5,0,0,,4.5,2,
2,2013/8/7 17:35,2013/8/7 17:38,N,1,-73.93762207,40.75827408,-73.93763733,40.75827408,5,0,2.5,1,0.5,0.01,0,,4.01,1,
2,2013/8/7 17:38,2013/8/7 17:39,N,1,-73.93738556,40.75812531,-73.93743134,40.75810623,1,0,2.5,1,0.5,0,0,,4,2,
2,2013/8/7 17:39,2013/8/7 17:39,N,1,-73.93764496,40.75831223,-73.93764496,40.7583313,5,0,2.5,1,0.5,0,0,,4,2,
2,2013/8/7 17:40,2013/8/7 17:40,N,1,-73.93766785,40.75832748,-73.93768311,40.7583046,5,0,2.5,1,0.5,0,0,,4,2,
2,2013/8/7 17:43,2013/8/7 17:44,N,5,-73.93766022,40.75830078,-73.93774414,40.758358,2,0,20,0,0,0,0,,20,2,
2,2013/8/7 17:43,2013/8/7 17:46,N,1,-73.93766022,40.75830078,-73.9376297,40.75828934,5,0,2.5,1,0.5,0,127.78,,131.78,2,
